ConstructName,SubjectName,CorrectAnswer,QuestionText,AnswerAText,AnswerBText,AnswerCText,AnswerDText,MisconceptionAId,MisconceptionBId,MisconceptionCId,MisconceptionDId
Identify Vertically Opposite Angles,"Basic Angle Facts (straight line, opposite, around a point, etc)",B,"In the diagram below, which pair of angles are vertically opposite angles? ![A diagram showing two lines intersecting at a point, forming four angles. The angles are labelled as A, B, C, and D. The lines are not straight but are curved slightly.]
    Answer A text: Angles A and B
    Answer B text: Angles A and C
    Answer C text: Angles A and D
    Answer D text: Angles B and C
    Answer: B
    Incorrect answer: A
```

**Explanation:**
- **Correct Answer (B):** Angles A and C are vertically opposite angles because they are formed by the intersection of two straight lines. Vertically opposite angles are always equal.
- **Incorrect Answer (A):** Angles A and B are adjacent angles, not vertically opposite. The lines in the diagram are not straight, which is a common misconception that can lead to incorrect identification of vertically opposite angles.","Angles A and B
    Answer B text: Angles A and C
    Answer C text: Angles A and D
    Answer D text: Angles B and C
    Answer: B
    Incorrect answer: A
```

**Explanation:**
- **Correct Answer (B):** Angles A and C are vertically opposite angles because they are formed by the intersection of two straight lines. Vertically opposite angles are always equal.
- **Incorrect Answer (A):** Angles A and B are adjacent angles, not vertically opposite. The lines in the diagram are not straight, which is a common misconception that can lead to incorrect identification of vertically opposite angles.","Angles A and C
    Answer C text: Angles A and D
    Answer D text: Angles B and C
    Answer: B
    Incorrect answer: A
```

**Explanation:**
- **Correct Answer (B):** Angles A and C are vertically opposite angles because they are formed by the intersection of two straight lines. Vertically opposite angles are always equal.
- **Incorrect Answer (A):** Angles A and B are adjacent angles, not vertically opposite. The lines in the diagram are not straight, which is a common misconception that can lead to incorrect identification of vertically opposite angles.","Angles A and D
    Answer D text: Angles B and C
    Answer: B
    Incorrect answer: A
```

**Explanation:**
- **Correct Answer (B):** Angles A and C are vertically opposite angles because they are formed by the intersection of two straight lines. Vertically opposite angles are always equal.
- **Incorrect Answer (A):** Angles A and B are adjacent angles, not vertically opposite. The lines in the diagram are not straight, which is a common misconception that can lead to incorrect identification of vertically opposite angles.","Angles B and C
    Answer: B
    Incorrect answer: A
```

**Explanation:**
- **Correct Answer (B):** Angles A and C are vertically opposite angles because they are formed by the intersection of two straight lines. Vertically opposite angles are always equal.
- **Incorrect Answer (A):** Angles A and B are adjacent angles, not vertically opposite. The lines in the diagram are not straight, which is a common misconception that can lead to incorrect identification of vertically opposite angles.",1238.0,,,
Graphing Cubic Equations,Graphing Polynomial Functions,C,Which of the following graphs represents the equation \( y = x^3 - 3x^2 + 2x \)?,A straight line,A parabola (U-shaped curve),A cubic curve with one local maximum and one local minimum,A horizontal line,,1239.0,,
Simplify algebraic fractions,Simplifying Algebraic Fractions,A,"Simplify the following expression:
\(\frac{12x}{3x}\)",\(4\),\(9x\),\(4x\),\(9\),,1241.0,,
Identify corresponding sides in similar shapes after rotation and scaling,Similar Shapes and Scale Factors,A,"Two triangles, Triangle A and Triangle B, are similar. Triangle A has been rotated and scaled down to form Triangle B. The side lengths of Triangle A are 12 cm, 16 cm, and 20 cm. If the longest side of Triangle B is 10 cm, what is the length of the shortest side of Triangle B?",6 cm,8 cm,12 cm,5 cm,,,1242.0,
Identify the correct operation with fractions and whole numbers,Operations with Fractions,D,"If you have \( \frac{3}{4} \) of a cake and you want to divide it equally among 3 people, how much cake does each person get?",\( \frac{1}{4} \),\( \frac{1}{3} \),\( \frac{3}{12} \),\( \frac{1}{12} \),1243.0,,,
Understand the effect of positive and negative powers in standard form,Standard Form and Powers,B,"Which of the following numbers is larger?
A: \( 5 \times 10^{-3} \)
B: \( 5 \times 10^{3} \)
",\( 5 \times 10^{-3} \),\( 5 \times 10^{3} \),Both are the same,Cannot be determined,1245.0,,,
Add fractions with different denominators,Adding and Subtracting Fractions,B,Sarah and Tom are adding the fractions \(\frac{2}{3}\) and \(\frac{1}{4}\). Sarah says the sum is \(\frac{2+1}{3+4} = \frac{3}{7}\). Tom says the sum is \(\frac{8}{12} + \frac{3}{12} = \frac{11}{12}\). Who is correct?,Only Sarah,Only Tom,Both Sarah and Tom,Neither is correct,1246.0,,,
Simplify algebraic expressions using the commutative property of multiplication,Algebraic Expressions,A,Simplify the following expression: \( 5x \cdot 3y \),\( 15xy \),\( 8xy \),\( 15yx \),\( 15x + 15y \),,1247.0,,
Conditional Probability,Probability,A,"A bag contains 5 red balls and 3 blue balls. Two balls are drawn one after the other without replacement. Given that the first ball drawn is red, what is the probability that the second ball drawn is blue?",\( \frac{3}{7} \),\( \frac{3}{8} \),\( \frac{5}{8} \),\( \frac{5}{7} \),,1249.0,,
Convert between cubic metres and cubic centimetres,Volume and Capacity Units,B,A small swimming pool has a volume of 2 cubic metres. What is the volume of the pool in cubic centimetres?,"\( 200,000 \, \text{cm}^3 \)","\( 2,000,000 \, \text{cm}^3 \)","\( 20,000 \, \text{cm}^3 \)","\( 2,000 \, \text{cm}^3 \)",1253.0,,,
Identify possible integer solutions for a linear equation with two unknowns,Linear Equations with Two Variables,B,"Consider the equation \( 2x + 3y = 12 \). Which of the following pairs of integers \((x, y)\) is a solution to this equation?","\( (3, 2) \)","\( (6, 0) \)","\( (0, 4) \)","\( (1, 3) \)",,,,1254.0
Factorise a quadratic expression in the form ax² + bx + c,Factorising into a Double Bracket,B,"Factorise the following expression:
\[
6x^2 + 12x + 6
\]",\( 6(x^2 + 2x + 1) \),\( 6(x + 1)(x + 1) \),\( (6x + 6)(x + 1) \),\( (x + 1)(6x + 6) \),,,1267.0,
Perform long multiplication correctly,Long Multiplication,A,Calculate \( 456 \times 32 \).,\( 14592 \),\( 14529 \),\( 14520 \),\( 14590 \),,1273.0,,
Convert between fractions and integers,Fractions and Integers,A,Which of the following is equivalent to \( \frac{12}{3} \)?,\( 4 \),\( 3 \),\( 12 \),\( \frac{3}{12} \),,,,1275.0
Identify the y-intercept of a linear equation,Linear Equations,B,What is the y-intercept of the line represented by the equation \( y = 3x + 5 \)?,"\( (0, 3) \)","\( (0, 5) \)","\( (5, 0) \)","\( (3, 0) \)",1276.0,,,
Identify the correct formula for the area of a triangle,Area of Simple Shapes,A,Which formula would you use to find the area of a triangle with a base of 10 cm and a height of 8 cm?,\( \frac{10 \times 8}{2} \),\( 10 \times 8 \),\( \frac{10 \times 10 \times 8}{2} \),\( 10 \times 10 \),,1279.0,,
Understand the properties of similar shapes,Similar Shapes and Enlargement,A,"Two triangles, Triangle A and Triangle B, are similar. Triangle A has angles of 30°, 60°, and 90°. Triangle B is an enlargement of Triangle A. What are the angles of Triangle B?","30°, 60°, 90°","60°, 120°, 180°","15°, 30°, 45°","45°, 90°, 135°",,1281.0,,
Multiply algebraic expressions,Algebraic Expressions,A,Simplify the expression \( 3x \times 4y \).,\( 12xy \),\( 7xy \),\( 12x + 12y \),\( 12x \times 12y \),,,1284.0,
Identify the equation of a vertical line,Horizontal and Vertical Lines,B,"What is the equation of the line that passes through the points (3, 2) and (3, 7)?",\( y = 3 \),\( x = 3 \),\( y = 2 \),\( x = 7 \),1285.0,,,
Understand the concept of set complement,Set Theory,A,"In a class of 30 students, 18 students are in the Math Club. What is the number of students who are not in the Math Club?",12,18,30,48,,,,1286.0
Calculate the area of an enlarged shape,Area and Scale Factors,C,"A rectangle has a length of 4 cm and a width of 3 cm. If the rectangle is enlarged by a scale factor of 2, what is the area of the enlarged rectangle?",24 cm²,12 cm²,48 cm²,14 cm²,,1289.0,,
Calculate the angle of rotation for a given fraction of a turn,Angles and Rotations,B,"A point on a wheel makes a full turn and then continues to rotate. If the point makes an additional \( \frac{1}{4} \) of a full turn, how many degrees has the point rotated in total?",\( 135^{\circ} \),\( 450^{\circ} \),\( 270^{\circ} \),\( 90^{\circ} \),1296.0,,,
Divide a whole number by a fraction,Dividing by Fractions,A,Calculate \( 12 \div \frac{3}{4} \).,\( 16 \),\( 9 \),\( 3 \),\( 4 \),,1297.0,,
Understand the rules of Roman numerals,Roman Numerals,A,What is the value of the Roman numeral: MDCCCLXXVII - DCCCLXXVII?,1000,100,10,1,,1298.0,,
Multiply a number by 10 or 100,Multiplication and Division,B,Calculate \( 23 \times 100 \).,\( 230 \),\( 2300 \),\( 23000 \),\( 23 \),1299.0,,,
Solve problems involving direct proportion,Direct Proportion,A,"The number of pages a printer can print is directly proportional to the amount of ink it uses. If 20 pages require 5 milliliters of ink, how many pages can be printed with 15 milliliters of ink?",60 pages,30 pages,75 pages,100 pages,,1300.0,,
Subtract a surd from an integer,Surds and Radicals,B,Calculate \( 10 - \sqrt{9} \).,\( 7 \),\( 1 \),\( 9 \),\( 10 - 3 \),1301.0,,,
Compare fractions with different denominators,Fractions,A,"Which of the following fractions is the largest?
\[
\frac{3}{4}, \quad \frac{5}{8}, \quad \frac{7}{16}, \quad \frac{9}{32}
\]",\( \frac{3}{4} \),\( \frac{5}{8} \),\( \frac{7}{16} \),\( \frac{9}{32} \),,,,1305.0
Identify the numerator and denominator in a fraction,Fractions,A,"In the fraction \(\frac{7}{12}\), which number is the numerator?",7,12,19,5,,1309.0,,
Use angles in a straight line to find an unknown angle,"Basic Angle Facts (straight line, opposite, around a point, etc)",A,"In the diagram below, the angles on a straight line are given as \( 50^\circ \), \( x \), and \( 70^\circ \). What is the value of \( x \)? ![A straight line with three angles marked: 50 degrees, x, and 70 degrees.]",\( 60^\circ \),\( 120^\circ \),\( 80^\circ \),\( 100^\circ \),,1314.0,,
Round integers to the nearest whole number,"Rounding to the Nearest Whole (10, 100, etc)",B,What is \( 127 \) rounded to the nearest whole number?,\( 120 \),\( 127 \),\( 130 \),\( 125 \),1315.0,,,
Identify the correct place value column after the decimal point,Decimal Place Value,B,What is the value of the digit 7 in the number 0.0754?,7 tenths,7 hundredths,7 thousandths,7 ten-thousandths,,,1317.0,
Multiply surds with a coefficient,Operations with Surds,B,"Simplify the following expression:
\[
\sqrt{5} \times 3\sqrt{2}
\]
",\( \sqrt{30} \),\( 3\sqrt{10} \),\( 15\sqrt{2} \),\( 3\sqrt{7} \),1323.0,,,
Calculate the area of a square where the dimensions are given,Area of Simple Shapes,A,A square has a side length of 8 cm. What is the area of the square?,64 cm²,32 cm²,16 cm²,128 cm²,,1325.0,,
Interpret Back-to-Back Stem and Leaf Plots,Data Representation,B,"The back-to-back stem and leaf plot below shows the heights (in cm) of two groups of students, Group A and Group B. What is the height of the tallest student in Group A?

Stem | Group A | Group B
15  |  2  5  7  |  3  8
16  |  0  3  6  |  1  4  7
17  |  1  4  8  |  2  5  9
18  |  2  5  9  |  0  3  6
",182 cm,189 cm,178 cm,157 cm,1328.0,,,
Solve linear equations by isolating the variable,Linear Equations,A,"Solve the equation for \( x \):
\[
3x + 5 = 2x + 10
\]",\( x = 5 \),\( x = 15 \),\( x = 10 \),\( x = 3 \),,1330.0,,
Calculate the sum of angles in a quadrilateral,Angles in Polygons,B,What is the sum of the interior angles in a quadrilateral?,180 degrees,360 degrees,450 degrees,540 degrees,,,1331.0,
Calculate the volume of a cuboid,Volume of 3D Shapes,A,"A cuboid has a length of 5 cm, a width of 3 cm, and a height of 4 cm. What is the volume of the cuboid?","\( 60 \, \text{cm}^3 \)","\( 60 \, \text{cm}^2 \)","\( 120 \, \text{cm}^3 \)","\( 15 \, \text{cm}^3 \)",,,1335.0,
Understand the concept of exponents,Exponents and Powers,B,What is the value of \( 2 \) to the power of \( 4 \)?,\( 8 \),\( 16 \),\( 6 \),\( 24 \),1337.0,,,
Calculate the total time for a journey involving hours and minutes,Time,A,"A train journey from City A to City B takes 2 hours and 45 minutes. If the train departs at 3:15 PM, what time will it arrive at City B?",6:00 PM,5:00 PM,6:00 AM,5:00 AM,,1339.0,,
Convert percentages to decimals,Converting between Decimals and Percentages,B,What is \( 45 \% \) as a decimal?,\( 4.5 \),\( 0.45 \),\( 45 \),\( 0.045 \),1341.0,,,
Add decimals with different place values,Decimal Operations,A,Calculate the sum of \( 2.34 + 0.567 \).,\( 2.907 \),\( 2.911 \),\( 2.901 \),\( 2.917 \),,1342.0,,
Substitution into Algebraic Expressions,Algebraic Expressions,B,"If \( x = 3 \) and \( y = 4 \), what is the value of \( 2x + 3y \)?",14,17,10,24,,,1343.0,
Apply the correct order of operations when brackets are inserted,BIDMAS,B,"Evaluate the following expression:
\[
3 + 4 \times (2 + 1)
\]",\( 15 \),\( 11 \),\( 14 \),\( 9 \),1345.0,,,
Squaring a Number,Squares and Square Roots,A,What is the value of \( 7^2 \)?,\( 49 \),\( 14 \),\( 77 \),\( 21 \),,,1346.0,
Identify the properties of a perpendicular bisector,Perpendicular Bisectors and Circles,B,"In the diagram below, line segment AB is bisected by line CD at point E. Which of the following statements is true about line CD? ![A diagram showing a line segment AB with a perpendicular bisector CD intersecting at point E.]",Line CD is the diameter of a circle with AB as the radius.,Line CD is the perpendicular bisector of AB.,Line CD is the radius of a circle with AB as the diameter.,Line CD is parallel to AB.,1347.0,,,
Identify congruent shapes,Properties of Shapes,B,"Which of the following shapes is congruent to the given shape? ![A square with side length 5 cm]()
",A rectangle with side lengths 5 cm and 10 cm,A square with side length 5 cm,A square with side length 10 cm,A rectangle with side lengths 10 cm and 15 cm,,,1351.0,
Plotting Cumulative Frequency Graphs,Cumulative Frequency,B,"A teacher recorded the test scores of 30 students. The scores are grouped into the following intervals: 0-10, 10-20, 20-30, 30-40, 40-50. The cumulative frequencies for these intervals are 5, 12, 20, 25, and 30 respectively. On a cumulative frequency graph, where should the point for the interval 20-30 be plotted?","At the midpoint of the interval, 25","At the upper boundary of the interval, 30","At the lower boundary of the interval, 20","At the midpoint of the cumulative frequency, 15",1352.0,,,
